song,genre
Both of Us (feat. Taylor Swift),Rap
All I Want Is You,Latin
You're the Inspiration,Rock
"Aaron Burr, Sir",Latin
Miss Jackson (feat. LOLO),EDM
Show Me What I'm Looking For,Pop
Always Remember Us This Way,Metal
Fire and Rain,Rap
Fire and Rain,EDM
Beautiful,Pop
No Surprise,Rock
Amazed,Country
Breakaway,Pop
Picture (feat. Sheryl Crow),Rock
Helpless,Rock
Sound of Madness,Rock
Africa,Rock
Take a Back Road,Country
Victorious,Gospel
The Story,Rock
The Story,Jazz
Fairly Local,Lofi
Both of Us (feat. Taylor Swift),Hip hop
Both of Us (feat. Taylor Swift),Rap
All I Want Is You,Hip hop
You're the Inspiration,Rock
"Aaron Burr, Sir",Pop
Miss Jackson (feat. LOLO),R&B
Show Me What I'm Looking For,Pop
Always Remember Us This Way,Latin
Fire and Rain,Lofi
Fire and Rain,Folk
Wait For It,Rock
Juke Box Hero,Rock
Guns and Ships,Rap
Cleaning This Gun (Come on In Boy),Country
Burn,Folk
Southern Cross,Rock
You,Country
American Kids,Country
Strong,Pop
The Room Where It Happens,Gospel
I Don't Mind (feat. Juicy J),R&B
I Don't Mind (feat. Juicy J),Hip hop
Titanium (feat. Sia),Lofi
History,Pop
Hallelujah,Video game music
Family Tradition,Country
Non-Stop,EDM
Doubt,Jazz
Uptown Girl,Pop
bad guy,Lofi
Want U Back,Pop
Best Song Ever,Pop
"We Takin' Over (feat. Akon, T.I., Rick Ross, Fat Joe, Baby & Lil' Wayne)",Hip hop
"We Takin' Over (feat. Akon, T.I., Rick Ross, Fat Joe, Baby & Lil' Wayne)",Rap
"Who Lives, Who Dies, Who Tells Your Story",K pop
Nothing Else Matters,Metal
Gold,Pop
Talk Dirty (feat. 2 Chainz),Pop
Yorktown (The World Turned Upside Down),K pop
Dear Theodosia,Latin
The Heart of Life,Pop
Rain Over Me (feat. Marc Anthony),Pop
It's Quiet Uptown,Hip hop
Photograph,Pop
Right Hand Man,Metal
Supermarket Flowers,Pop
Cheap Thrills,Pop
Give It Up to Me (feat. Lil Wayne),Pop
The Story of Tonight,Video game music
